"customer_id","payment_id","payment_date","previous_payment_date","payment_time_diff"
1,18495,"2007-02-14 23:22:38.996577",NULL,NULL
1,18496,"2007-02-15 16:31:19.996577","2007-02-14 23:22:38.996577","17:08:41"
1,18497,"2007-02-15 19:37:12.996577","2007-02-15 16:31:19.996577","03:05:53"
1,18498,"2007-02-16 13:47:23.996577","2007-02-15 19:37:12.996577","18:10:11"
1,18499,"2007-02-18 07:10:14.996577","2007-02-16 13:47:23.996577","1 day 17:22:51"
1,18500,"2007-02-18 12:02:25.996577","2007-02-18 07:10:14.996577","04:52:11"
1,18501,"2007-02-21 04:53:11.996577","2007-02-18 12:02:25.996577","2 days 16:50:46"
1,22680,"2007-03-01 07:19:30.996577","2007-02-21 04:53:11.996577","8 days 02:26:19"
1,22681,"2007-03-02 14:05:18.996577","2007-03-01 07:19:30.996577","1 day 06:45:48"
1,22682,"2007-03-02 16:30:04.996577","2007-03-02 14:05:18.996577","02:24:46"
1,22683,"2007-03-17 11:06:20.996577","2007-03-02 16:30:04.996577","14 days 18:36:16"
1,22684,"2007-03-18 02:25:55.996577","2007-03-17 11:06:20.996577","15:19:35"
1,22685,"2007-03-19 08:23:42.996577","2007-03-18 02:25:55.996577","1 day 05:57:47"
1,22686,"2007-03-19 12:25:20.996577","2007-03-19 08:23:42.996577","04:01:38"
1,22687,"2007-03-21 22:02:23.996577","2007-03-19 12:25:20.996577","2 days 09:37:03"
1,22688,"2007-03-21 23:56:23.996577","2007-03-21 22:02:23.996577","01:54:00"
1,22689,"2007-03-22 18:10:03.996577","2007-03-21 23:56:23.996577","18:13:40"
1,22690,"2007-03-22 18:32:12.996577","2007-03-22 18:10:03.996577","00:22:09"
1,28993,"2007-04-08 01:45:31.996577","2007-03-22 18:32:12.996577","16 days 07:13:19"
1,28994,"2007-04-08 06:02:22.996577","2007-04-08 01:45:31.996577","04:16:51"
1,28995,"2007-04-09 11:52:33.996577","2007-04-08 06:02:22.996577","1 day 05:50:11"
1,28996,"2007-04-09 15:06:27.996577","2007-04-09 11:52:33.996577","03:13:54"
1,28997,"2007-04-11 08:42:12.996577","2007-04-09 15:06:27.996577","1 day 17:35:45"
1,28998,"2007-04-27 09:59:48.996577","2007-04-11 08:42:12.996577","16 days 01:17:36"
1,28999,"2007-04-28 07:33:11.996577","2007-04-27 09:59:48.996577","21:33:23"
1,29000,"2007-04-28 14:46:49.996577","2007-04-28 07:33:11.996577","07:13:38"
1,29001,"2007-04-28 16:02:05.996577","2007-04-28 14:46:49.996577","01:15:16"
1,29002,"2007-04-28 17:48:33.996577","2007-04-28 16:02:05.996577","01:46:28"
1,29003,"2007-04-29 02:27:15.996577","2007-04-28 17:48:33.996577","08:38:42"
1,29004,"2007-04-30 01:10:44.996577","2007-04-29 02:27:15.996577","22:43:29"
2,18502,"2007-02-17 19:23:24.996577",NULL,NULL
2,22691,"2007-03-01 08:13:52.996577","2007-02-17 19:23:24.996577","11 days 12:50:28"
2,22692,"2007-03-02 00:39:22.996577","2007-03-01 08:13:52.996577","16:25:30"
2,22693,"2007-03-02 06:10:07.996577","2007-03-02 00:39:22.996577","05:30:45"
2,22694,"2007-03-02 09:12:14.996577","2007-03-02 06:10:07.996577","03:02:07"
2,22695,"2007-03-02 12:13:19.996577","2007-03-02 09:12:14.996577","03:01:05"
