"customer_id","amount"
524,"7.99"
1,"7.99"
2,"7.99"
3,"7.99"
4,"7.99"
5,"7.99"
6,"7.99"
7,"7.99"
8,"7.99"
9,"7.99"
10,"7.99"
11,"7.99"
12,"7.99"
13,"7.99"
14,"7.99"
15,"7.99"
16,"7.99"
17,"7.99"
18,"7.99"
19,"7.99"
20,"7.99"
21,"7.99"
22,"7.99"
23,"7.99"
24,"7.99"
25,"7.99"
26,"7.99"
27,"7.99"
28,"7.99"
29,"7.99"
30,"7.99"
31,"7.99"
32,"7.99"
33,"7.99"
34,"7.99"
35,"7.99"
36,"7.99"
37,"7.99"
38,"7.99"
39,"7.99"
40,"7.99"
41,"7.99"
42,"7.99"
43,"7.99"
44,"7.99"
45,"7.99"
46,"7.99"
47,"7.99"
48,"7.99"
49,"7.99"
50,"7.99"
51,"7.99"
52,"7.99"
53,"7.99"
54,"7.99"
55,"7.99"
56,"7.99"
57,"7.99"
58,"7.99"
59,"7.99"
60,"7.99"
61,"7.99"
62,"7.99"
63,"7.99"
64,"7.99"
65,"7.99"
66,"7.99"
67,"7.99"
68,"7.99"
69,"7.99"
70,"7.99"
71,"7.99"
72,"7.99"
73,"7.99"
74,"7.99"
75,"7.99"
76,"7.99"
77,"7.99"
78,"7.99"
79,"7.99"
80,"7.99"
81,"7.99"
82,"7.99"
83,"7.99"
84,"7.99"
85,"7.99"
86,"7.99"
87,"7.99"
88,"7.99"
89,"7.99"
90,"7.99"
91,"7.99"
92,"7.99"
93,"7.99"
94,"7.99"
95,"7.99"
96,"7.99"
97,"7.99"
98,"7.99"
99,"7.99"
100,"7.99"
101,"7.99"
102,"7.99"
103,"7.99"
104,"7.99"
105,"7.99"
106,"7.99"
107,"7.99"
108,"7.99"
109,"7.99"
110,"7.99"
111,"7.99"
112,"7.99"
113,"7.99"
114,"7.99"
115,"7.99"
116,"7.99"
117,"7.99"
118,"7.99"
119,"7.99"
120,"7.99"
121,"7.99"
122,"7.99"
123,"7.99"
124,"7.99"
125,"7.99"
126,"7.99"
127,"7.99"
128,"7.99"
129,"7.99"
130,"7.99"
131,"7.99"
132,"7.99"
133,"7.99"
134,"7.99"
135,"7.99"
136,"7.99"
137,"7.99"
138,"7.99"
139,"7.99"
140,"7.99"
141,"7.99"
142,"7.99"
143,"7.99"
144,"7.99"
145,"7.99"
146,"7.99"
147,"7.99"
148,"7.99"
149,"7.99"
150,"7.99"
151,"7.99"
152,"7.99"
153,"7.99"
154,"7.99"
155,"7.99"
156,"7.99"
157,"7.99"
158,"7.99"
159,"7.99"
160,"7.99"
161,"7.99"
162,"7.99"
163,"7.99"
164,"7.99"
165,"7.99"
166,"7.99"
167,"7.99"
168,"7.99"
169,"7.99"
170,"7.99"
171,"7.99"
172,"7.99"
173,"7.99"
174,"7.99"
175,"7.99"
176,"7.99"
177,"7.99"
178,"7.99"
179,"7.99"
180,"7.99"
181,"7.99"
182,"7.99"
183,"7.99"
184,"7.99"
185,"7.99"
186,"7.99"
187,"7.99"
188,"7.99"
189,"7.99"
190,"7.99"
191,"7.99"
192,"7.99"
193,"7.99"
194,"7.99"
195,"7.99"
196,"7.99"
197,"7.99"
198,"7.99"
199,"7.99"
200,"7.99"
201,"7.99"
202,"7.99"
203,"7.99"
204,"7.99"
205,"7.99"
206,"7.99"
207,"7.99"
208,"7.99"
209,"7.99"
210,"7.99"
211,"7.99"
212,"7.99"
213,"7.99"
214,"7.99"
215,"7.99"
216,"7.99"
217,"7.99"
218,"7.99"
219,"7.99"
220,"7.99"
221,"7.99"
222,"7.99"
223,"7.99"
224,"7.99"
225,"7.99"
226,"7.99"
227,"7.99"
228,"7.99"
229,"7.99"
230,"7.99"
231,"7.99"
232,"7.99"
233,"7.99"
234,"7.99"
235,"7.99"
236,"7.99"
237,"7.99"
238,"7.99"
239,"7.99"
240,"7.99"
241,"7.99"
242,"7.99"
243,"7.99"
244,"7.99"
245,"7.99"
246,"7.99"
247,"7.99"
248,"7.99"
249,"7.99"
250,"7.99"
251,"7.99"
252,"7.99"
253,"7.99"
254,"7.99"
255,"7.99"
256,"7.99"
257,"7.99"
258,"7.99"
259,"7.99"
260,"7.99"
261,"7.99"
262,"7.99"
263,"7.99"
264,"7.99"
265,"7.99"
266,"7.99"
267,"7.99"
268,"7.99"
269,"7.99"
270,"7.99"
271,"7.99"
272,"7.99"
273,"7.99"
274,"7.99"
275,"7.99"
276,"7.99"
277,"7.99"
278,"7.99"
279,"7.99"
280,"7.99"
281,"7.99"
282,"7.99"
283,"7.99"
284,"7.99"
285,"7.99"
286,"7.99"
287,"7.99"
288,"7.99"
289,"7.99"
290,"7.99"
291,"7.99"
292,"7.99"
293,"7.99"
294,"7.99"
295,"7.99"
296,"7.99"
297,"7.99"
298,"7.99"
299,"7.99"
300,"7.99"
301,"7.99"
302,"7.99"
303,"7.99"
304,"7.99"
305,"7.99"
306,"7.99"
307,"7.99"
308,"7.99"
309,"7.99"
310,"7.99"
311,"7.99"
312,"7.99"
313,"7.99"
314,"7.99"
315,"7.99"
316,"7.99"
317,"7.99"
318,"7.99"
319,"7.99"
320,"7.99"
321,"7.99"
322,"7.99"
323,"7.99"
324,"7.99"
325,"7.99"
326,"7.99"
327,"7.99"
328,"7.99"
329,"7.99"
330,"7.99"
331,"7.99"
332,"7.99"
333,"7.99"
334,"7.99"
335,"7.99"
336,"7.99"
337,"7.99"
338,"7.99"
339,"7.99"
340,"7.99"
341,"7.99"
342,"7.99"
343,"7.99"
344,"7.99"
345,"7.99"
346,"7.99"
347,"7.99"
348,"7.99"
349,"7.99"
350,"7.99"
351,"7.99"
352,"7.99"
353,"7.99"
354,"7.99"
355,"7.99"
356,"7.99"
357,"7.99"
358,"7.99"
359,"7.99"
360,"7.99"
361,"7.99"
362,"7.99"
363,"7.99"
364,"7.99"
365,"7.99"
366,"7.99"
367,"7.99"
368,"7.99"
369,"7.99"
370,"7.99"
371,"7.99"
372,"7.99"
373,"7.99"
374,"7.99"
375,"7.99"
376,"7.99"
377,"7.99"
378,"7.99"
379,"7.99"
380,"7.99"
381,"7.99"
382,"7.99"
383,"7.99"
384,"7.99"
385,"7.99"
386,"7.99"
387,"7.99"
388,"7.99"
389,"7.99"
390,"7.99"
391,"7.99"
392,"7.99"
393,"7.99"
394,"7.99"
395,"7.99"
396,"7.99"
397,"7.99"
398,"7.99"
399,"7.99"
400,"7.99"
401,"7.99"
402,"7.99"
403,"7.99"
404,"7.99"
405,"7.99"
406,"7.99"
407,"7.99"
408,"7.99"
409,"7.99"
410,"7.99"
411,"7.99"
412,"7.99"
413,"7.99"
414,"7.99"
415,"7.99"
416,"7.99"
417,"7.99"
418,"7.99"
419,"7.99"
420,"7.99"
421,"7.99"
422,"7.99"
423,"7.99"
424,"7.99"
425,"7.99"
426,"7.99"
427,"7.99"
428,"7.99"
429,"7.99"
430,"7.99"
431,"7.99"
432,"7.99"
433,"7.99"
434,"7.99"
435,"7.99"
436,"7.99"
437,"7.99"
438,"7.99"
439,"7.99"
440,"7.99"
441,"7.99"
442,"7.99"
443,"7.99"
444,"7.99"
445,"7.99"
446,"7.99"
447,"7.99"
448,"7.99"
449,"7.99"
450,"7.99"
451,"7.99"
452,"7.99"
453,"7.99"
454,"7.99"
455,"7.99"
456,"7.99"
457,"7.99"
458,"7.99"
459,"7.99"
460,"7.99"
461,"7.99"
462,"7.99"
463,"7.99"
464,"7.99"
465,"7.99"
466,"7.99"
467,"7.99"
468,"7.99"
469,"7.99"
470,"7.99"
471,"7.99"
472,"7.99"
473,"7.99"
474,"7.99"
475,"7.99"
476,"7.99"
477,"7.99"
478,"7.99"
479,"7.99"
480,"7.99"
481,"7.99"
482,"7.99"
483,"7.99"
484,"7.99"
485,"7.99"
486,"7.99"
487,"7.99"
488,"7.99"
489,"7.99"
490,"7.99"
491,"7.99"
492,"7.99"
493,"7.99"
494,"7.99"
495,"7.99"
496,"7.99"
497,"7.99"
498,"7.99"
499,"7.99"
