"customer_id","amount_count"
559,"7"
102,"4"
263,"4"
38,"4"
359,"4"
380,"4"
168,"4"
393,"4"
158,"4"
397,"4"
121,"4"
563,"4"
437,"3"
5,"3"
74,"3"
138,"3"
323,"3"
290,"3"
557,"3"
396,"3"
118,"3"
504,"3"
366,"3"
120,"3"
580,"3"
31,"3"
422,"3"
516,"3"
64,"3"
174,"3"
132,"3"
148,"3"
569,"3"
295,"3"
371,"3"
374,"3"
455,"3"
91,"3"
377,"3"
405,"3"
104,"3"
441,"3"
163,"3"
361,"3"
275,"3"
573,"3"
599,"3"
287,"3"
558,"2"
39,"2"
267,"2"
526,"2"
481,"2"
362,"2"
524,"2"
282,"2"
116,"2"
80,"2"
594,"2"
57,"2"
533,"2"
499,"2"
265,"2"
111,"2"
596,"2"
327,"2"
61,"2"
378,"2"
581,"2"
514,"2"
588,"2"
322,"2"
439,"2"
365,"2"
81,"2"
541,"2"
572,"2"
32,"2"
406,"2"
260,"2"
237,"2"
101,"2"
183,"2"
150,"2"
523,"2"
479,"2"
208,"2"
262,"2"
451,"2"
24,"2"
155,"2"
115,"2"
141,"2"
261,"2"
122,"2"
506,"2"
211,"2"
189,"2"
332,"2"
487,"2"
530,"2"
560,"2"
215,"2"
55,"2"
357,"2"
268,"2"
368,"2"
331,"2"
75,"2"
246,"2"
452,"2"
369,"2"
239,"2"
595,"2"
142,"2"
153,"2"
534,"2"
355,"2"
176,"2"
543,"2"
566,"2"
26,"2"
222,"2"
427,"2"
85,"2"
592,"2"
95,"2"
40,"2"
579,"2"
283,"2"
257,"2"
409,"2"
78,"2"
29,"2"
521,"2"
546,"2"
113,"2"
4,"2"
501,"2"
177,"2"
20,"2"
182,"2"
350,"2"
353,"2"
249,"2"
475,"2"
525,"2"
444,"2"
27,"2"
143,"2"
107,"2"
90,"2"
271,"2"
454,"2"
71,"2"
86,"2"
418,"1"
83,"1"
67,"1"
407,"1"
333,"1"
571,"1"
443,"1"
134,"1"
334,"1"
274,"1"
144,"1"
471,"1"
36,"1"
464,"1"
312,"1"
167,"1"
498,"1"
494,"1"
460,"1"
16,"1"
207,"1"
62,"1"
123,"1"
360,"1"
568,"1"
99,"1"
492,"1"
41,"1"
544,"1"
224,"1"
586,"1"
247,"1"
100,"1"
423,"1"
442,"1"
293,"1"
411,"1"
392,"1"
429,"1"
495,"1"
94,"1"
154,"1"
316,"1"
474,"1"
33,"1"
185,"1"
270,"1"
23,"1"
435,"1"
351,"1"
384,"1"
273,"1"
51,"1"
552,"1"
431,"1"
426,"1"
424,"1"
364,"1"
299,"1"
169,"1"
576,"1"
92,"1"
436,"1"
292,"1"
509,"1"
156,"1"
197,"1"
135,"1"
417,"1"
556,"1"
470,"1"
529,"1"
227,"1"
500,"1"
311,"1"
103,"1"
88,"1"
43,"1"
328,"1"
196,"1"
210,"1"
226,"1"
48,"1"
447,"1"
349,"1"
160,"1"
244,"1"
468,"1"
242,"1"
266,"1"
171,"1"
456,"1"
347,"1"
54,"1"
562,"1"
297,"1"
201,"1"
10,"1"
35,"1"
233,"1"
446,"1"
445,"1"
93,"1"
219,"1"
175,"1"
241,"1"
253,"1"
231,"1"
340,"1"
356,"1"
133,"1"
391,"1"
416,"1"
458,"1"
372,"1"
243,"1"
166,"1"
538,"1"
335,"1"
152,"1"
383,"1"
230,"1"
7,"1"
301,"1"
381,"1"
597,"1"
254,"1"
503,"1"
548,"1"
453,"1"
159,"1"
186,"1"
1,"1"
76,"1"
18,"1"
178,"1"
145,"1"
129,"1"
58,"1"
228,"1"
8,"1"
485,"1"
370,"1"
68,"1"
448,"1"
52,"1"
146,"1"
438,"1"
382,"1"
258,"1"
162,"1"
341,"1"
330,"1"
276,"1"
513,"1"
473,"1"
348,"1"
375,"1"
60,"1"
415,"1"
108,"1"
408,"1"
289,"1"
65,"1"
583,"1"
124,"1"
555,"1"
98,"1"
522,"1"
329,"1"
200,"1"
11,"1"
401,"1"
527,"1"
306,"1"
507,"1"
480,"1"
9,"1"
79,"1"
551,"1"
532,"1"
457,"1"
564,"1"
535,"1"
281,"1"
510,"1"
259,"1"
77,"1"
172,"1"
30,"1"
21,"1"
288,"1"
131,"1"
3,"1"
17,"1"
198,"1"
37,"1"
404,"1"
584,"1"
398,"1"
255,"1"
165,"1"
56,"1"
296,"1"
574,"1"
225,"1"
