"payment_id","amount","overall_average","standard_deviation"
17503,"7.99","4.2006056453822965","2.3689455309942720"
17504,"1.99","4.2006056453822965","2.3689455309942720"
17505,"7.99","4.2006056453822965","2.3689455309942720"
17506,"2.99","4.2006056453822965","2.3689455309942720"
17507,"7.99","4.2006056453822965","2.3689455309942720"
17508,"5.99","4.2006056453822965","2.3689455309942720"
17509,"5.99","4.2006056453822965","2.3689455309942720"
17510,"5.99","4.2006056453822965","2.3689455309942720"
17511,"2.99","4.2006056453822965","2.3689455309942720"
17512,"4.99","4.2006056453822965","2.3689455309942720"
17513,"6.99","4.2006056453822965","2.3689455309942720"
17514,"0.99","4.2006056453822965","2.3689455309942720"
17515,"0.99","4.2006056453822965","2.3689455309942720"
17516,"6.99","4.2006056453822965","2.3689455309942720"
17517,"8.99","4.2006056453822965","2.3689455309942720"
17518,"0.99","4.2006056453822965","2.3689455309942720"
17519,"3.99","4.2006056453822965","2.3689455309942720"
17520,"4.99","4.2006056453822965","2.3689455309942720"
17521,"0.99","4.2006056453822965","2.3689455309942720"
17522,"0.99","4.2006056453822965","2.3689455309942720"
17523,"4.99","4.2006056453822965","2.3689455309942720"
17524,"0.99","4.2006056453822965","2.3689455309942720"
17525,"4.99","4.2006056453822965","2.3689455309942720"
17526,"5.99","4.2006056453822965","2.3689455309942720"
17527,"2.99","4.2006056453822965","2.3689455309942720"
17528,"2.99","4.2006056453822965","2.3689455309942720"
17529,"8.99","4.2006056453822965","2.3689455309942720"
17530,"0.99","4.2006056453822965","2.3689455309942720"
17531,"4.99","4.2006056453822965","2.3689455309942720"
17532,"8.99","4.2006056453822965","2.3689455309942720"
17533,"7.99","4.2006056453822965","2.3689455309942720"
17534,"2.99","4.2006056453822965","2.3689455309942720"
17535,"8.99","4.2006056453822965","2.3689455309942720"
17536,"0.99","4.2006056453822965","2.3689455309942720"
17537,"2.99","4.2006056453822965","2.3689455309942720"
17538,"0.99","4.2006056453822965","2.3689455309942720"
17539,"6.99","4.2006056453822965","2.3689455309942720"
17540,"8.99","4.2006056453822965","2.3689455309942720"
17541,"3.99","4.2006056453822965","2.3689455309942720"
17542,"0.99","4.2006056453822965","2.3689455309942720"
17543,"2.99","4.2006056453822965","2.3689455309942720"
17544,"0.99","4.2006056453822965","2.3689455309942720"
17545,"5.99","4.2006056453822965","2.3689455309942720"
17546,"0.99","4.2006056453822965","2.3689455309942720"
17547,"2.99","4.2006056453822965","2.3689455309942720"
17548,"0.99","4.2006056453822965","2.3689455309942720"
17549,"4.99","4.2006056453822965","2.3689455309942720"
17550,"4.99","4.2006056453822965","2.3689455309942720"
17551,"4.99","4.2006056453822965","2.3689455309942720"
17552,"4.99","4.2006056453822965","2.3689455309942720"
17553,"2.99","4.2006056453822965","2.3689455309942720"
17554,"7.99","4.2006056453822965","2.3689455309942720"
17555,"6.99","4.2006056453822965","2.3689455309942720"
17556,"0.99","4.2006056453822965","2.3689455309942720"
17557,"4.99","4.2006056453822965","2.3689455309942720"
17558,"6.99","4.2006056453822965","2.3689455309942720"
17559,"2.99","4.2006056453822965","2.3689455309942720"
17560,"0.99","4.2006056453822965","2.3689455309942720"
17561,"2.99","4.2006056453822965","2.3689455309942720"
17562,"0.99","4.2006056453822965","2.3689455309942720"
17563,"2.99","4.2006056453822965","2.3689455309942720"
17564,"4.99","4.2006056453822965","2.3689455309942720"
17565,"5.99","4.2006056453822965","2.3689455309942720"
17566,"1.99","4.2006056453822965","2.3689455309942720"
17567,"1.99","4.2006056453822965","2.3689455309942720"
17568,"6.99","4.2006056453822965","2.3689455309942720"
17569,"2.99","4.2006056453822965","2.3689455309942720"
17570,"0.99","4.2006056453822965","2.3689455309942720"
17571,"5.99","4.2006056453822965","2.3689455309942720"
17572,"2.99","4.2006056453822965","2.3689455309942720"
17573,"2.99","4.2006056453822965","2.3689455309942720"
17574,"2.99","4.2006056453822965","2.3689455309942720"
17575,"4.99","4.2006056453822965","2.3689455309942720"
17576,"1.99","4.2006056453822965","2.3689455309942720"
17577,"0.99","4.2006056453822965","2.3689455309942720"
17578,"4.99","4.2006056453822965","2.3689455309942720"
17579,"0.99","4.2006056453822965","2.3689455309942720"
17580,"6.99","4.2006056453822965","2.3689455309942720"
17581,"3.99","4.2006056453822965","2.3689455309942720"
17582,"6.99","4.2006056453822965","2.3689455309942720"
17583,"4.99","4.2006056453822965","2.3689455309942720"
17584,"1.99","4.2006056453822965","2.3689455309942720"
17585,"2.99","4.2006056453822965","2.3689455309942720"
17586,"2.99","4.2006056453822965","2.3689455309942720"
17587,"2.99","4.2006056453822965","2.3689455309942720"
17588,"2.99","4.2006056453822965","2.3689455309942720"
17589,"2.99","4.2006056453822965","2.3689455309942720"
17590,"2.99","4.2006056453822965","2.3689455309942720"
17591,"2.99","4.2006056453822965","2.3689455309942720"
17592,"4.99","4.2006056453822965","2.3689455309942720"
17593,"4.99","4.2006056453822965","2.3689455309942720"
17594,"4.99","4.2006056453822965","2.3689455309942720"
17595,"4.99","4.2006056453822965","2.3689455309942720"
17596,"2.99","4.2006056453822965","2.3689455309942720"
17597,"2.99","4.2006056453822965","2.3689455309942720"
17598,"2.99","4.2006056453822965","2.3689455309942720"
17599,"4.99","4.2006056453822965","2.3689455309942720"
17600,"4.99","4.2006056453822965","2.3689455309942720"
17601,"3.99","4.2006056453822965","2.3689455309942720"
17602,"1.99","4.2006056453822965","2.3689455309942720"
17603,"6.99","4.2006056453822965","2.3689455309942720"
17604,"4.99","4.2006056453822965","2.3689455309942720"
17605,"2.99","4.2006056453822965","2.3689455309942720"
17606,"0.99","4.2006056453822965","2.3689455309942720"
17607,"1.99","4.2006056453822965","2.3689455309942720"
17608,"0.99","4.2006056453822965","2.3689455309942720"
17609,"0.99","4.2006056453822965","2.3689455309942720"
17610,"0.99","4.2006056453822965","2.3689455309942720"
17611,"9.99","4.2006056453822965","2.3689455309942720"
17612,"4.99","4.2006056453822965","2.3689455309942720"
17613,"4.99","4.2006056453822965","2.3689455309942720"
17614,"4.99","4.2006056453822965","2.3689455309942720"
17615,"4.99","4.2006056453822965","2.3689455309942720"
17616,"0.99","4.2006056453822965","2.3689455309942720"
17617,"6.99","4.2006056453822965","2.3689455309942720"
17618,"2.99","4.2006056453822965","2.3689455309942720"
17619,"1.99","4.2006056453822965","2.3689455309942720"
17620,"6.99","4.2006056453822965","2.3689455309942720"
17621,"5.99","4.2006056453822965","2.3689455309942720"
17622,"0.99","4.2006056453822965","2.3689455309942720"
17623,"3.99","4.2006056453822965","2.3689455309942720"
17624,"0.99","4.2006056453822965","2.3689455309942720"
17625,"2.99","4.2006056453822965","2.3689455309942720"
